building_type,zone,year,n_floor,total_floor,area,kchn_area,ceiling,toilet,parking,rough_finish,num_room,price
монолитный,"
Астана, Есильский р-н
показать на карте
",2018,5,9,95,12.6 м²,3м,1,1,0,3,65000000
кирпичный,"
Астана, р-н Байконур
показать на карте
",1984,1,9,31,8.3 м²,2.6м,0,0,0,1,19000000
кирпичный,"
Астана, Сарыарка р-н
показать на карте
",1977,5,5,45,5 м²,-,0,0,0,2,15000000
кирпичный,"
Астана, Сарыарка р-н
показать на карте
",1970,1,3,15,15 м²,-,0,0,0,1,4700000
монолитный,"
Астана, Есильский р-н
показать на карте
",2021,-,-,40,12 м²,-,0,0,0,1,27000000
монолитный,"
Астана, Сарыарка р-н
показать на карте
",2022,-,-,11,17 м²,3м,0,0,0,3,41500000
монолитный,"
Астана, Сарыарка р-н
показать на карте
",2013,3,17,80,0,3м,0,1,0,3,43000000
монолитный,"
Астана, Алматы р-н
показать на карте
",2012,6,12,68,25 м²,2.7м,0,1,0,1,24500000
монолитный,"
Астана
показать на карте
",2021,-,-,38,0,2.7м,0,1,1,1,18000000
монолитный,"
Астана, Есильский р-н
показать на карте
",2023,3,8,67,0,3м,0,1,1,2,35000000
монолитный,"
Астана, Алматы р-н
показать на карте
",2022,8,9,65,12 м²,2.7м,0,1,0,2,36000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2018,3,8,40,0,2.7м,0,0,0,1,22500000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2018,6,10,67,0,3м,0,0,0,2,35000000
панельный,"
Астана, р-н Байконур
показать на карте
",1976,1,5,45,8 м²,2.7м,0,0,0,2,20000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2020,3,4,35,6 м²,-,0,1,0,1,14000000
монолитный,"
Астана, Есильский р-н
показать на карте
",2015,1,7,90,0,2.7м,1,1,0,3,41000000
панельный,"
Астана, Алматы р-н
показать на карте
",1992,4,5,50,8 м²,-,0,0,0,2,20000000
монолитный,"
Астана, Есильский р-н
показать на карте
",2019,5,9,42,6.8 м²,2.7м,0,0,0,2,24500000
монолитный,"
Астана, Есильский р-н
показать на карте
",2018,-,-,11,0,2.7м,0,0,0,4,78000000
-,"
Астана, Есильский р-н
показать на карте
",2017,-,-,65,0,-,0,1,0,2,32000000
кирпичный,"
Астана, Сарыарка р-н
показать на карте
",2008,7,10,57,8 м²,2.7м,0,1,0,2,26000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2019,-,-,40,0,-,0,0,0,1,22000000
монолитный,"
Астана, Есильский р-н
показать на карте
",2015,-,-,90,0,3м,1,1,0,3,52000000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2016,5,12,27,0,-,0,1,0,1,16500000
кирпичный,"
Астана, Алматы р-н
показать на карте
",1994,3,5,51,0,-,0,0,0,2,18000000
монолитный,"
Астана, Есильский р-н
показать на карте
",2017,6,9,53,0,-,0,0,0,2,21500000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2022,8,9,45,10 м²,3м,0,1,0,1,18000000
кирпичный,"
Астана, р-н Байконур
показать на карте
",1976,9,10,60,0,-,0,0,0,3,20500000
монолитный,"
Астана, р-н Байконур
показать на карте
",1984,5,7,43,0,-,0,0,0,2,15000000
кирпичный,"
Астана, Сарыарка р-н
показать на карте
",2013,8,9,50,9 м²,2.7м,0,0,0,2,26000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2015,6,8,83,13.4 м²,3м,0,0,0,2,51000000
монолитный,"
Астана, Алматы р-н
показать на карте
",2016,7,12,71,0,2.8м,0,1,0,3,36500000
панельный,"
Астана, р-н Байконур
показать на карте
",1977,3,5,45,0,-,0,0,0,2,17500000
монолитный,"
Астана, Есильский р-н
показать на карте
",2019,6,13,42,0,-,0,0,0,1,14400000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2019,2,9,69,0,2.8м,0,1,0,3,33000000
монолитный,"
Астана, Алматы р-н
показать на карте
",2007,3,10,70,0,2.7м,0,0,0,2,28999999
монолитный,"
Астана, Есильский р-н
показать на карте
",2018,-,-,39,0,3м,0,1,0,1,19900000
кирпичный,"
Астана, Сарыарка р-н
показать на карте
",2012,3,6,59,0,-,0,0,0,3,23450000
монолитный,"
Астана, Есильский р-н
показать на карте
",2019,8,13,68,0,-,0,0,1,2,21500000
монолитный,"
Астана, Есильский р-н
показать на карте
",2018,-,-,44,14 м²,2.7м,0,1,0,1,23900000
монолитный,"
Астана, Есильский р-н
показать на карте
",2017,3,14,60,11 м²,2.7м,0,0,0,2,33500000
монолитный,"
Астана, Есильский р-н
показать на карте
",2018,-,-,36,8 м²,2.7м,0,0,0,1,19000000
монолитный,"
Астана, Алматы р-н
показать на карте
",2018,3,9,37,10 м²,2.8м,0,0,0,1,16500000
монолитный,"
Астана, Есильский р-н
показать на карте
",2021,2,9,22,23 м²,3м,1,1,0,5,177000000
кирпичный,"
Астана, р-н Байконур
показать на карте
",2006,8,13,21,22.1 м²,3м,1,0,0,5,72179637
кирпичный,"
Астана, Есильский р-н
показать на карте
",2019,7,8,16,0,-,1,1,0,5,130000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2019,4,7,64,0,3м,0,1,0,2,35400000
монолитный,"
Астана, Есильский р-н
показать на карте
",2021,8,9,91,0,-,0,1,0,3,60000000
кирпичный,"
Астана, Сарыарка р-н
показать на карте
",2014,4,5,37,9 м²,2.7м,0,0,0,1,15500000
монолитный,"
Астана, Есильский р-н
показать на карте
",2019,5,9,47,10 м²,3м,0,1,0,1,26000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2018,8,10,10,0,3м,0,1,0,4,65000000
монолитный,"
Астана, Алматы р-н
показать на карте
",2019,4,10,45,10 м²,-,0,0,0,1,21800000
монолитный,"
Астана, Есильский р-н
показать на карте
",2014,4,14,65,0,-,0,1,0,2,30900000
монолитный,"
Астана, Есильский р-н
показать на карте
",2018,-,-,11,0,2.8м,0,1,0,4,77000000
монолитный,"
Астана, Есильский р-н
показать на карте
",2020,-,-,13,0,3м,1,1,0,4,115000000
монолитный,"
Астана, Есильский р-н
показать на карте
",2023,8,9,45,0,3м,0,1,0,2,32000000
монолитный,"
Астана, Есильский р-н
показать на карте
",2017,-,-,35,0,2.7м,0,1,0,1,23990000
-,"
Астана, Алматы р-н
показать на карте
",2009,3,9,11,14 м²,-,0,1,0,4,61000000
монолитный,"
Астана, Сарыарка р-н
показать на карте
",2021,-,-,35,8.7 м²,.75м,0,0,0,1,16000000
-,"
Астана, Есильский р-н
показать на карте
",2018,-,-,13,0,3м,0,1,0,4,95000000
-,"
Астана, Есильский р-н
показать на карте
",2016,-,-,60,0,-,0,0,0,2,24500000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2014,4,5,66,0,2.7м,1,0,0,2,37100000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2007,8,9,83,0,2.7м,0,1,0,3,32500000
-,"
Астана, Есильский р-н
показать на карте
",2014,7,12,81,0,2.7м,0,0,0,3,33000000
монолитный,"
Астана, Алматы р-н
показать на карте
",2007,-,-,90,0,2.7м,0,0,0,3,40500000
панельный,"
Астана, Алматы р-н
показать на карте
",1992,4,5,68,12 м²,-,0,0,0,3,28500000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2018,7,7,64,0,3м,0,1,0,2,35900000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2010,8,9,63,0,-,0,1,0,2,23600000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2016,5,7,58,0,2.7м,0,1,0,2,28500000
панельный,"
Астана, Сарыарка р-н
показать на карте
",2007,6,8,38,12 м²,2.8м,0,1,0,1,16000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2019,5,5,83,9.1 м²,2.7м,0,0,0,3,35000000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2018,4,7,65,0,3м,0,1,1,2,13999999
кирпичный,"
Астана, Алматы р-н
показать на карте
",2006,8,9,63,0,-,0,0,0,2,23600000
монолитный,"
Астана, Есильский р-н
показать на карте
",2021,4,10,46,0,-,0,1,0,2,31000000
панельный,"
Астана, Сарыарка р-н
показать на карте
",1987,3,5,30,0,2.7м,0,0,0,1,11900000
монолитный,"
Астана, Алматы р-н
показать на карте
",2013,1,13,45,5 м²,2.7м,0,0,0,1,17800000
монолитный,"
Астана, Алматы р-н
показать на карте
",2018,-,-,60,0,-,0,0,0,2,39500000
монолитный,"
Астана, Алматы р-н
показать на карте
",2011,-,-,70,10.3 м²,2.8м,0,1,0,2,37000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2021,7,9,97,12.4 м²,3м,1,1,0,3,75000000
-,"
Астана
показать на карте
",2019,9,9,26,0,3м,0,1,0,5,245000000
монолитный,"
Астана, Есильский р-н
показать на карте
",2023,3,7,60,0,3м,0,1,0,2,23300000
-,"
Астана, Есильский р-н
показать на карте
",2019,7,9,70,0,-,0,0,0,3,47000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2022,8,10,40,10 м²,3м,0,1,0,1,22400000
монолитный,"
Астана, Есильский р-н
показать на карте
",2021,3,12,40,0,3м,0,1,0,1,22500000
монолитный,"
Астана, Есильский р-н
показать на карте
",2023,-,-,52,0,3м,0,1,0,2,38500000
-,"
Астана
показать на карте
",2016,-,-,18,0,-,0,0,0,4,230000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2019,4,7,67,11 м²,-,0,0,0,2,41500000
монолитный,"
Астана, Алматы р-н
показать на карте
",2017,-,-,13,15 м²,3м,0,0,0,3,51000000
-,"
Астана, Есильский р-н
показать на карте
",2013,3,6,18,0,3.3м,0,1,0,4,150000000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2003,2,9,48,17 м²,-,0,0,0,1,17500000
-,"
Астана, Алматы р-н
показать на карте
",2018,-,-,39,0,3м,0,1,0,1,19800000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2022,5,7,45,0,3м,0,1,1,1,23500000
-,"
Астана, Есильский р-н
показать на карте
",2022,-,-,41,12.4 м²,3м,0,1,0,1,24500000
монолитный,"
Астана, Есильский р-н
показать на карте
",2021,5,7,52,0,3м,0,1,0,2,34000000
панельный,"
Астана, р-н Байконур
показать на карте
",1985,2,5,60,0,2.7м,0,0,0,3,29000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2019,1,12,40,10 м²,3м,0,1,0,1,21400000
кирпичный,"
Астана, Сарыарка р-н
показать на карте
",2019,9,12,43,0,-,0,0,1,1,15400000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2018,3,9,67,0,2.7м,0,1,0,2,24800000
монолитный,"
Астана, р-н Байконур
показать на карте
",2007,-,-,18,0,3м,0,0,0,3,159000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2022,7,9,54,0,3м,0,1,0,2,27500000
монолитный,"
Астана, Есильский р-н
показать на карте
",2011,-,-,11,0,2.7м,1,0,0,3,48000000
монолитный,"
Астана, Алматы р-н
показать на карте
",2017,-,-,71,15 м²,3м,1,1,0,2,43500000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2008,6,12,53,0,-,0,1,0,1,28500000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2020,7,9,82,12.3 м²,3м,0,1,0,3,48000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2018,4,9,86,0,2.8м,0,1,0,3,50000000
монолитный,"
Астана, Есильский р-н
показать на карте
",2020,5,20,65,11 м²,3м,0,1,0,2,36000000
монолитный,"
Астана, Алматы р-н
показать на карте
",2023,7,8,23,0,3.3м,1,1,1,5,233000000
панельный,"
Астана, Алматы р-н
показать на карте
",1999,5,6,67,10 м²,-,0,0,0,3,30000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2018,2,8,74,0,-,0,0,0,2,36000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2021,9,10,33,0,3м,0,1,0,1,22500000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2016,7,13,88,9 м²,-,1,0,0,3,35000000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2021,9,9,39,0,2.7м,0,1,0,1,17000000
кирпичный,"
Астана, Сарыарка р-н
показать на карте
",2008,-,-,65,0,-,0,1,0,2,23000000
-,"
Астана, Есильский р-н
показать на карте
",2019,-,-,10,0,-,0,0,0,3,61000000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2010,5,9,38,2 м²,2м,0,0,0,2,17000000
кирпичный,"
Астана, Сарыарка р-н
показать на карте
",2008,-,-,34,11 м²,2.7м,0,1,0,1,15500000
монолитный,"
Астана, Есильский р-н
показать на карте
",2021,6,12,84,0,3м,0,1,0,3,48000000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2011,5,9,65,0,-,0,0,0,2,31000000
кирпичный,"
Астана, Сарыарка р-н
показать на карте
",2008,6,12,72,15 м²,2.7м,0,0,0,2,28500000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2011,5,9,65,0,-,0,0,0,2,31000000
кирпичный,"
Астана, Сарыарка р-н
показать на карте
",2008,6,12,72,15 м²,2.7м,0,0,0,2,28500000
монолитный,"
Астана, Есильский р-н
показать на карте
",2017,-,-,90,0,2.7м,1,1,0,3,60000000
монолитный,"
Астана, Есильский р-н
показать на карте
",2018,3,20,90,0,3м,0,1,0,3,46500000
монолитный,"
Астана, р-н Байконур
показать на карте
",2016,-,-,44,0,-,0,1,0,1,22500000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2016,1,10,76,11 м²,-,0,0,0,3,27700000
монолитный,"
Астана, Есильский р-н
показать на карте
",2022,9,9,96,0,3м,1,1,0,3,71000000
-,"
Астана, Есильский р-н
показать на карте
",2018,6,9,35,0,-,0,0,0,1,16500000
монолитный,"
Астана, Сарыарка р-н
показать на карте
",2014,-,-,65,0,2.7м,0,0,0,2,29500000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2022,1,3,57,9 м²,2.7м,0,1,0,2,20000000
монолитный,"
Астана, Алматы р-н
показать на карте
",2014,9,19,40,0,-,0,1,0,1,15500000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2022,7,10,38,9 м²,3м,0,0,0,2,29900000
панельный,"
Астана, р-н Байконур
показать на карте
",1982,4,5,54,0,-,0,0,0,2,20000000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2019,1,9,36,0,2.7м,0,1,0,1,14000000
-,"
Астана, р-н Байконур
показать на карте
",1984,4,5,37,0,2.7м,0,0,0,1,14000000
монолитный,"
Астана, Есильский р-н
показать на карте
",2018,7,9,53,0,3м,0,1,0,2,29000000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2021,9,9,90,13 м²,3м,0,0,0,3,52000000
монолитный,"
Астана, Есильский р-н
показать на карте
",2008,5,18,13,0,3м,0,1,0,3,46500000
монолитный,"
Астана, Есильский р-н
показать на карте
",2020,-,-,13,0,3м,1,1,0,4,115000000
кирпичный,"
Астана, Сарыарка р-н
показать на карте
",2012,3,6,54,0,-,0,0,0,2,20500000
кирпичный,"
Астана, Алматы р-н
показать на карте
",2022,9,9,45,8 м²,2.8м,0,0,0,2,12900000
кирпичный,"
Астана, Есильский р-н
показать на карте
",2022,7,9,39,0,3м,0,1,0,1,16900000
